date,open,high,low,close,change,volume
2023-02-14,1853.67,1871.03,1843.20,1854.29,0.05%,0
2023-02-15,1854.35,1860.18,1830.20,1836.19,-0.98%,0
2023-02-16,1836.56,1845.45,1827.18,1837.44,0.07%,0
2023-02-17,1837.52,1843.77,1818.34,1841.59,0.23%,0
2023-02-20,1842.73,1847.86,1837.09,1841.14,-0.02%,0
2023-02-21,1841.71,1844.44,1829.70,1834.32,-0.37%,0
2023-02-22,1834.71,1846.26,1823.05,1825.04,-0.51%,0
2023-02-23,1825.12,1834.43,1817.55,1822.64,-0.13%,0
2023-02-24,1822.74,1827.98,1808.91,1810.81,-0.65%,0
2023-02-27,1812.01,1820.22,1806.68,1817.31,0.36%,0
2023-02-28,1817.38,1831.27,1804.65,1827.15,0.54%,0
2023-03-01,1827.24,1845.05,1823.05,1836.81,0.53%,0
2023-03-02,1837.20,1838.94,1829.44,1836.00,-0.04%,0
2023-03-03,1836.10,1856.47,1834.51,1854.97,1.03%,0
2023-03-06,1855.35,1858.84,1845.08,1846.85,-0.44%,0
2023-03-07,1846.92,1852.26,1812.72,1813.52,-1.80%,0
2023-03-08,1813.61,1824.38,1809.40,1813.59,0.00%,0
2023-03-09,1813.65,1835.56,1811.84,1830.89,0.95%,0
2023-03-10,1830.96,1870.28,1827.71,1867.83,2.02%,0
2023-03-13,1869.01,1914.79,1869.01,1913.23,2.43%,0
2023-03-14,1913.19,1914.52,1895.17,1902.12,-0.58%,0
2023-03-15,1903.91,1937.46,1885.78,1918.10,0.84%,0
2023-03-16,1920.54,1934.12,1907.55,1919.12,0.05%,0
2023-03-17,1920.00,1989.80,1918.33,1987.93,3.59%,0
2023-03-20,1987.59,2010.19,1965.77,1978.71,-0.46%,0
2023-03-21,1979.17,1985.30,1935.41,1940.15,-1.95%,0
2023-03-22,1940.44,1978.93,1934.33,1969.58,1.52%,0
2023-03-23,1967.91,2003.43,1964.39,1993.50,1.21%,0
2023-03-24,1993.99,2003.19,1975.18,1977.22,-0.82%,0
2023-03-27,1977.66,1979.89,1943.68,1956.56,-1.04%,0
2023-03-28,1957.23,1975.45,1948.66,1973.69,0.88%,0
2023-03-29,1972.82,1974.64,1958.62,1964.04,-0.49%,0
2023-03-30,1962.58,1984.40,1955.44,1980.25,0.83%,0
2023-03-31,1978.62,1987.84,1966.89,1967.90,-0.62%,0
2023-04-03,1970.84,1990.64,1949.82,1984.11,0.82%,0
2023-04-04,1984.59,2025.19,1977.01,2019.97,1.81%,0
2023-04-05,2020.44,2032.20,2009.99,2020.35,0.02%,0
2023-04-06,2020.13,2021.63,2000.88,2008.02,-0.61%,0
2023-04-10,2008.30,2011.17,1981.59,1989.65,-0.91%,0
2023-04-11,1990.36,2007.58,1988.72,2003.14,0.68%,0
2023-04-12,2003.67,2028.40,2001.18,2014.67,0.58%,0
2023-04-13,2014.00,2048.84,2012.45,2039.73,1.24%,0
2023-04-14,2040.40,2047.60,1992.41,2003.04,-1.80%,0
2023-04-17,2001.85,2015.13,1981.34,1994.77,-0.41%,0
2023-04-18,1995.19,2011.98,1991.33,2004.93,0.51%,0
2023-04-19,2007.49,2008.33,1969.28,1993.26,-0.58%,0
2023-04-20,1993.58,2012.74,1990.49,2004.34,0.56%,0
2023-04-21,2004.29,2005.75,1971.65,1982.89,-1.07%,0
2023-04-24,1981.34,1990.97,1974.19,1988.88,0.30%,0
2023-04-25,1991.45,2003.90,1976.14,1997.87,0.45%,0
2023-04-26,2000.63,2009.51,1983.43,1989.48,-0.42%,0
2023-04-27,1987.58,2003.45,1973.80,1987.87,-0.08%,0
2023-04-28,1986.75,1995.13,1976.08,1989.65,0.09%,0
2023-05-01,1991.34,2006.05,1977.05,1982.05,-0.38%,0
