"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2024","82.88","83.75","83.76","82.04","38856K","-0.99%"
"05/20/2024","83.71","83.98","84.49","83.11","29983K","-0.32%"
"05/17/2024","83.98","83.43","84.04","83.08","27718K","0.85%"
"05/16/2024","83.27","83.03","83.78","82.31","30571K","0.63%"
"05/15/2024","82.75","82.76","83.07","81.05","38598K","0.45%"
"05/14/2024","82.38","83.41","83.62","82.10","33357K","-1.18%"
"05/13/2024","83.36","82.78","83.84","82.26","33178K","0.69%"
"05/10/2024","82.79","84.21","84.53","82.70","31145K","-1.30%"
"05/09/2024","83.88","83.79","84.33","83.45","30945K","0.36%"
"05/08/2024","83.58","83.02","83.82","81.71","39543K","0.51%"
"05/07/2024","83.16","83.72","83.88","82.41","36521K","-0.20%"
"05/06/2024","83.33","82.99","83.83","82.77","22239K","0.45%"
"05/03/2024","82.96","83.90","84.39","82.78","33557K","-0.85%"
"05/02/2024","83.67","83.59","84.44","83.05","39264K","0.28%"
"05/01/2024","83.44","85.80","85.89","83.29","48283K","-5.03%"
"04/30/2024","87.86","88.41","88.79","87.46","14.9K","-0.61%"
"04/29/2024","88.40","89.22","89.29","88.11","99.5K","-1.23%"
"04/26/2024","89.50","89.23","89.83","88.78","11370K","0.55%"
"04/25/2024","89.01","87.89","89.31","87.31","24135K","1.12%"
"04/24/2024","88.02","88.45","88.86","87.65","24164K","-0.45%"
"04/23/2024","88.42","87.20","88.51","86.03","34178K","1.63%"
"04/22/2024","87.00","87.07","87.26","85.79","37213K","-0.33%"
"04/19/2024","87.29","87.04","90.75","86.19","49971K","0.21%"
"04/18/2024","87.11","87.42","87.80","86.09","43324K","-0.21%"
"04/17/2024","87.29","90.11","90.17","87.13","46293K","-3.03%"
"04/16/2024","90.02","90.43","90.84","89.41","32352K","-0.09%"
"04/15/2024","90.10","90.95","91.05","88.73","41036K","-0.39%"
"04/12/2024","90.45","90.13","92.18","90.01","40122K","0.79%"
"04/11/2024","89.74","90.52","90.92","89.38","37753K","-0.82%"
"04/10/2024","90.48","89.55","90.71","88.83","37123K","1.19%"
"04/09/2024","89.42","90.63","90.94","89.25","34643K","-1.06%"
"04/08/2024","90.38","90.09","91.10","88.78","39234K","-0.87%"
"04/05/2024","91.17","91.21","91.91","90.57","39078K","0.57%"
"04/04/2024","90.65","89.48","91.30","88.72","39095K","1.45%"
"04/03/2024","89.35","89.22","89.99","88.67","36737K","0.48%"
"04/02/2024","88.92","87.62","89.32","87.62","42794K","1.72%"
"04/01/2024","87.42","86.98","87.98","86.40","27496K","-0.07%"
"03/28/2024","87.48","86.41","87.52","86.30","18.9K","1.61%"
"03/27/2024","86.09","85.86","86.39","85.17","96.1K","-0.19%"
"03/26/2024","86.25","86.81","87.06","85.80","12682K","-0.58%"
"03/25/2024","86.75","85.50","87.17","85.40","17500K","1.55%"
"03/22/2024","85.43","85.66","86.15","85.11","16835K","-0.41%"
"03/21/2024","85.78","86.24","86.64","85.06","27187K","-0.20%"
"03/20/2024","85.95","87.15","87.35","85.59","38630K","-1.64%"
"03/19/2024","87.38","86.94","87.70","86.48","36742K","0.56%"
"03/18/2024","86.89","85.32","87.18","85.25","39007K","1.82%"
"03/15/2024","85.34","85.15","85.55","84.60","28701K","-0.09%"
"03/14/2024","85.42","84.04","85.69","83.98","38373K","1.65%"
"03/13/2024","84.03","82.45","84.24","81.96","39169K","2.58%"
"03/12/2024","81.92","82.45","83.01","81.69","32025K","-0.35%"
"03/11/2024","82.21","82.00","82.75","81.08","34733K","0.16%"
"03/08/2024","82.08","83.18","83.84","81.71","32030K","-1.06%"
"03/07/2024","82.96","82.92","83.53","82.07","37457K","0.00%"
"03/06/2024","82.96","82.01","84.05","81.85","37205K","1.12%"
"03/05/2024","82.04","82.74","83.14","81.72","45040K","-0.92%"
"03/04/2024","82.80","83.50","84.08","82.57","36983K","-0.90%"
"03/01/2024","83.55","82.07","84.34","81.81","40247K","-0.08%"
"02/29/2024","83.62","83.23","83.90","83.05","16.4K","-0.07%"
"02/28/2024","83.68","83.30","84.31","82.60","10785K","0.04%"
"02/27/2024","83.65","82.64","83.70","82.10","79.1K","1.36%"
"02/26/2024","82.53","81.41","83.07","81.00","18034K","1.11%"
"02/23/2024","81.62","83.39","83.48","81.43","22640K","-2.45%"
"02/22/2024","83.67","83.20","83.96","82.33","27528K","0.77%"
"02/21/2024","83.03","82.50","83.17","81.66","30518K","0.84%"
"02/20/2024","82.34","83.24","83.63","82.05","29703K","-1.46%"
"02/19/2024","83.56","83.28","83.60","82.55","18506K","0.11%"
"02/16/2024","83.47","82.79","83.66","81.89","33706K","0.74%"
"02/15/2024","82.86","81.42","83.25","80.72","33045K","1.54%"
"02/14/2024","81.60","82.60","83.60","81.39","34436K","-1.41%"
"02/13/2024","82.77","82.00","83.24","81.96","33180K","0.94%"
"02/12/2024","82.00","81.94","82.19","80.77","24624K","-0.23%"
"02/09/2024","82.19","81.72","82.45","81.21","31532K","0.69%"
"02/08/2024","81.63","79.30","81.90","79.03","43650K","3.06%"
"02/07/2024","79.21","78.70","79.50","78.49","29168K","0.79%"
"02/06/2024","78.59","77.95","79.08","77.63","30561K","0.77%"
"02/05/2024","77.99","77.90","78.33","76.62","29337K","0.85%"
"02/02/2024","77.33","79.15","79.44","76.85","41175K","-1.74%"
"02/01/2024","78.70","80.57","81.55","78.57","52577K","-3.68%"
"01/31/2024","81.71","82.94","82.94","81.59","14.8K","-1.40%"
"01/30/2024","82.87","82.62","83.30","81.34","89.1K","0.57%"
"01/29/2024","82.40","84.13","84.80","82.03","12991K","-1.38%"
"01/26/2024","83.55","82.44","83.81","81.31","24025K","1.36%"
"01/25/2024","82.43","80.31","82.57","80.06","24818K","2.99%"
"01/24/2024","80.04","79.56","80.73","79.05","23075K","0.62%"
"01/23/2024","79.55","79.92","80.43","78.70","33110K","-0.64%"
"01/22/2024","80.06","78.89","80.55","77.81","31971K","1.91%"
"01/19/2024","78.56","79.10","79.73","78.32","28231K","-0.68%"
"01/18/2024","79.10","78.15","79.30","77.33","32529K","1.57%"
"01/17/2024","77.88","77.77","78.19","76.50","35540K","-0.52%"
"01/16/2024","78.29","78.43","79.40","77.60","29855K","0.18%"
"01/15/2024","78.15","78.14","78.90","76.85","17769K","-0.18%"
"01/12/2024","78.29","78.75","80.75","77.96","40134K","1.14%"
"01/11/2024","77.41","76.70","79.10","76.66","39677K","0.79%"
"01/10/2024","76.80","77.48","78.73","76.38","35370K","-1.02%"
"01/09/2024","77.59","76.30","78.19","75.95","34679K","1.93%"
"01/08/2024","76.12","78.70","78.95","75.26","34263K","-3.35%"
"01/05/2024","78.76","77.71","79.26","77.66","29100K","1.51%"
"01/04/2024","77.59","78.56","79.41","76.50","35665K","-0.84%"
"01/03/2024","78.25","76.06","78.67","74.79","36177K","3.11%"
"01/02/2024","75.89","77.39","79.06","75.60","33835K","-1.49%"
"12/29/2023","77.04","77.38","77.98","76.73","19295K","-1.72%"
"12/28/2023","78.39","79.80","79.95","78.25","18.8K","-1.58%"
"12/27/2023","79.65","80.79","81.33","79.29","70.9K","-1.75%"
"12/26/2023","81.07","79.04","81.72","78.76","59.4K","2.53%"
"12/22/2023","79.07","79.35","80.37","78.88","11919K","-0.40%"
"12/21/2023","79.39","79.00","80.13","77.81","19332K","-0.39%"
"12/20/2023","79.70","79.17","80.60","79.07","24181K","0.59%"
"12/19/2023","79.23","78.06","79.67","77.41","21468K","1.64%"
"12/18/2023","77.95","76.80","79.51","75.76","27947K","1.83%"
"12/15/2023","76.55","76.66","77.23","75.29","22309K","-0.08%"
"12/14/2023","76.61","74.76","77.35","74.44","25752K","3.16%"
"12/13/2023","74.26","73.26","74.70","72.29","26018K","1.39%"
"12/12/2023","73.24","76.17","76.66","72.86","31009K","-3.67%"
"12/11/2023","76.03","75.73","76.50","75.01","21276K","0.25%"
"12/08/2023","75.84","74.59","76.36","74.20","22845K","2.42%"
"12/07/2023","74.05","74.50","75.48","73.60","29794K","-0.34%"
"12/06/2023","74.30","77.12","77.65","74.11","38540K","-3.76%"
"12/05/2023","77.20","78.10","79.09","77.00","35289K","-1.06%"
"12/04/2023","78.03","79.50","79.72","77.52","38838K","-1.08%"
"12/01/2023","78.88","80.67","81.54","78.75","35025K","-4.77%"
"11/30/2023","82.83","82.78","84.75","82.58","15.8K","-0.32%"
"11/29/2023","83.10","81.91","83.25","80.96","98.4K","1.74%"
"11/28/2023","81.68","80.19","82.16","79.80","11250K","2.13%"
"11/27/2023","79.98","80.40","81.17","79.13","15736K","-0.74%"
"11/24/2023","80.58","81.40","82.20","80.13","11414K","-1.03%"
"11/23/2023","81.42","81.60","81.63","80.19","10832K","-0.66%"
"11/22/2023","81.96","82.47","82.65","78.41","36718K","-0.59%"
"11/21/2023","82.45","82.13","82.54","81.43","23851K","0.16%"
"11/20/2023","82.32","80.30","82.94","79.58","24833K","2.12%"
"11/17/2023","80.61","77.55","80.81","77.28","34003K","4.12%"
"11/16/2023","77.42","80.98","81.17","76.60","44164K","-4.63%"
"11/15/2023","81.18","82.39","83.04","80.79","29942K","-1.56%"
"11/14/2023","82.47","82.71","83.97","82.06","24894K","-0.06%"
"11/13/2023","82.52","81.43","82.84","80.41","24330K","1.34%"
"11/10/2023","81.43","79.85","82.06","79.79","24955K","1.77%"
"11/09/2023","80.01","79.70","81.48","79.44","30611K","0.59%"
"11/08/2023","79.54","81.40","81.96","79.20","42070K","-2.54%"
"11/07/2023","81.61","85.15","85.19","81.40","40276K","-4.19%"
"11/06/2023","85.18","85.55","86.46","84.88","23923K","0.34%"
"11/03/2023","84.89","86.92","87.80","84.56","35485K","-2.26%"
"11/02/2023","86.85","85.00","87.05","84.64","30187K","2.62%"
"11/01/2023","84.63","85.45","87.24","84.58","32166K","-3.18%"
"10/31/2023","87.41","87.90","88.61","87.40","13.8K","-0.05%"
"10/30/2023","87.45","90.07","90.15","87.20","99.4K","-3.35%"
"10/27/2023","90.48","88.40","90.75","87.83","10914K","2.90%"
"10/26/2023","87.93","89.92","90.40","87.53","19864K","-2.44%"
"10/25/2023","90.13","88.04","90.35","86.68","29091K","2.34%"
"10/24/2023","88.07","90.47","90.68","87.35","30412K","-1.96%"
"10/23/2023","89.83","92.11","92.45","89.62","28244K","-2.53%"
"10/20/2023","92.16","93.23","93.79","91.66","27272K","-0.24%"
"10/19/2023","92.38","91.35","93.48","89.57","30900K","0.96%"
"10/18/2023","91.50","91.25","93.00","90.60","34819K","1.78%"
"10/17/2023","89.90","89.91","91.00","88.88","25283K","0.28%"
"10/16/2023","89.65","90.98","91.39","89.50","28325K","-1.36%"
"10/13/2023","90.89","86.35","91.00","86.28","42471K","5.69%"
"10/12/2023","86.00","85.53","87.64","85.18","37044K","0.21%"
"10/11/2023","85.82","87.72","88.26","85.21","40231K","-2.09%"
"10/10/2023","87.65","88.17","88.49","86.91","35211K","-0.57%"
"10/09/2023","88.15","86.45","89.00","86.00","41276K","4.22%"
"10/06/2023","84.58","84.49","84.95","83.44","42446K","0.61%"
"10/05/2023","84.07","85.88","86.52","83.84","51068K","-2.03%"
"10/04/2023","85.81","91.04","91.21","85.75","52556K","-5.62%"
"10/03/2023","90.92","90.40","91.56","89.50","43764K","0.23%"
"10/02/2023","90.71","92.18","93.33","90.35","42348K","-4.83%"
"09/29/2023","95.31","95.07","96.26","94.90","12.4K","-0.07%"
"09/28/2023","95.38","96.74","97.69","94.76","91.5K","-1.21%"
"09/27/2023","96.55","94.12","97.06","94.10","14672K","2.76%"
"09/26/2023","93.96","93.28","94.21","91.80","16945K","0.72%"
"09/25/2023","93.29","93.75","94.25","92.54","17762K","0.02%"
"09/22/2023","93.27","93.37","94.64","92.80","24004K","-0.03%"
"09/21/2023","93.30","93.08","94.60","92.20","31469K","-0.25%"
"09/20/2023","93.53","94.49","94.72","92.76","33059K","-0.86%"
"09/19/2023","94.34","94.66","95.96","94.16","40340K","-0.10%"
"09/18/2023","94.43","94.28","94.95","93.79","33778K","0.53%"
"09/15/2023","93.93","94.02","94.63","92.67","31690K","0.25%"
"09/14/2023","93.70","92.04","94.21","92.02","31000K","1.98%"
"09/13/2023","91.88","92.04","92.84","91.63","30275K","-0.20%"
"09/12/2023","92.06","90.62","92.40","90.52","33657K","1.57%"
"09/11/2023","90.64","90.83","91.45","90.11","30342K","-0.01%"
"09/08/2023","90.65","89.79","91.02","89.30","29814K","0.81%"
