date,open,high,low,close,change,volume
2023-03-14,80.54,80.92,76.89,77.45,-4.11%,35786K
2023-03-15,77.30,78.26,71.30,73.28,-5.38%,57646K
2023-03-16,73.85,75.12,71.49,74.29,1.38%,30620K
2023-03-17,74.30,75.59,71.38,72.77,-2.05%,47737K
2023-03-20,72.97,73.65,70.06,73.54,1.06%,34871K
2023-03-21,73.44,75.12,72.62,75.03,2.03%,29790K
2023-03-22,74.90,76.79,74.26,76.38,1.80%,24469K
2023-03-23,75.87,77.44,75.12,75.91,-0.62%,19964K
2023-03-24,75.53,76.32,72.68,74.99,-1.21%,15631K
2023-03-27,75.00,78.42,74.80,78.12,4.17%,14695K
2023-03-28,78.23,79.20,77.54,78.65,0.68%,14568K
2023-03-29,78.97,79.68,77.94,78.28,-0.47%,79.4K
2023-03-30,78.23,79.55,77.86,79.27,1.26%,62.2K
2023-03-31,79.19,79.80,78.54,79.77,0.63%,6.8K
2023-04-03,86.00,86.44,83.50,84.93,6.47%,47831K
2023-04-04,84.89,86.04,83.82,84.94,0.01%,30853K
2023-04-05,85.22,85.54,84.01,84.99,0.06%,24648K
2023-04-06,84.89,85.45,84.05,85.12,0.15%,25962K
2023-04-10,85.10,85.66,84.09,84.18,-1.10%,14053K
2023-04-11,84.24,85.67,83.75,85.61,1.70%,26267K
2023-04-12,85.59,87.49,85.39,87.33,2.01%,34780K
2023-04-13,87.19,87.47,86.05,86.09,-1.42%,29194K
2023-04-14,86.18,86.87,85.53,86.31,0.26%,26258K
2023-04-17,86.43,86.52,84.34,84.76,-1.80%,26181K
2023-04-18,84.74,85.41,83.81,84.77,0.01%,31570K
2023-04-19,84.90,85.15,82.39,83.12,-1.95%,33322K
2023-04-20,82.75,82.92,80.77,81.10,-2.43%,30290K
2023-04-21,80.79,82.05,80.45,81.66,0.69%,19685K
2023-04-24,81.87,82.99,80.48,82.73,1.31%,19790K
2023-04-25,82.59,83.06,80.35,80.77,-2.37%,20928K
2023-04-26,80.92,81.47,77.46,77.69,-3.81%,17282K
2023-04-27,77.77,78.61,77.39,78.37,0.88%,10439K
2023-04-28,78.25,79.61,77.69,79.54,1.49%,13.0K
2023-05-01,80.11,80.24,78.13,79.31,-0.29%,14656K
2023-05-02,79.28,79.78,75.07,75.32,-5.03%,38359K
2023-05-03,75.31,75.58,71.70,72.33,-3.97%,46962K
2023-05-04,71.28,73.72,71.28,72.50,0.24%,36223K
2023-05-05,72.69,75.75,72.41,75.30,3.86%,26507K
2023-05-08,75.23,77.43,74.95,77.01,2.27%,18575K
2023-05-09,76.71,77.50,75.07,77.44,0.56%,28341K
2023-05-10,77.36,77.60,75.68,76.41,-1.33%,31137K
2023-05-11,76.62,77.41,74.61,74.98,-1.87%,34516K
2023-05-12,75.35,75.85,74.03,74.17,-1.08%,25922K
2023-05-15,74.15,75.75,73.49,75.23,1.43%,24052K
2023-05-16,75.55,75.95,74.50,74.91,-0.43%,21620K
2023-05-17,74.67,77.31,74.10,76.96,2.74%,29706K
2023-05-18,76.78,76.99,75.50,75.86,-1.43%,23200K
2023-05-19,76.03,77.50,75.12,75.58,-0.37%,24053K
2023-05-22,75.63,76.46,74.55,75.99,0.54%,24196K
2023-05-23,76.15,77.74,75.65,76.84,1.12%,28723K
2023-05-24,77.70,78.66,77.03,78.36,1.98%,28599K
2023-05-25,78.22,78.50,75.10,76.26,-2.68%,23772K
2023-05-26,76.09,77.35,75.73,76.95,0.90%,15062K
2023-05-29,77.39,77.75,76.15,77.07,0.16%,31.5K
2023-05-30,76.98,77.57,73.20,73.54,-4.58%,11218K
2023-05-31,73.60,73.81,71.39,72.66,-1.20%,20.1K
2023-06-01,72.15,75.25,72.03,74.28,2.23%,34992K
2023-06-02,74.28,76.50,74.18,76.13,2.49%,27354K
2023-06-05,77.68,78.73,76.31,76.71,0.76%,38400K
2023-06-06,76.55,76.75,74.72,76.29,-0.55%,30458K
2023-06-07,76.22,77.64,75.51,76.95,0.87%,32563K
2023-06-08,76.80,77.68,73.58,75.96,-1.29%,39389K
2023-06-09,75.53,76.57,74.71,74.79,-1.54%,26020K
2023-06-12,74.87,74.87,71.58,71.84,-3.94%,35850K
2023-06-13,72.11,74.66,71.94,74.29,3.41%,32115K
2023-06-14,74.05,75.49,73.03,73.20,-1.47%,31837K
2023-06-15,73.41,75.97,72.91,75.67,3.37%,26041K
2023-06-16,75.64,76.74,75.08,76.61,1.24%,25625K
2023-06-19,76.40,76.93,75.34,76.09,-0.68%,14142K
2023-06-20,76.12,77.15,74.51,75.90,-0.25%,27638K
2023-06-21,75.54,77.24,75.52,77.12,1.61%,23655K
