date,open,high,low,close,change,volume
2023-06-29,33854.57,34147.68,33828.63,34122.42,0.80%,279.94M
2023-06-30,34269.92,34467.35,34269.92,34407.60,0.84%,353.29M
2023-07-03,34369.78,34465.60,34286.54,34418.47,0.03%,157.60M
2023-07-05,34344.72,34376.11,34226.98,34288.64,-0.38%,278.25M
2023-07-06,34171.39,34171.39,33771.47,33922.26,-1.07%,296.24M
2023-07-07,33837.07,34036.38,33716.75,33734.88,-0.55%,274.73M
2023-07-10,33705.68,33958.36,33705.68,33944.40,0.62%,301.54M
2023-07-11,34056.94,34288.87,33993.01,34261.42,0.93%,281.65M
2023-07-12,34395.28,34586.94,34308.78,34347.43,0.25%,334.07M
2023-07-13,34412.31,34482.26,34365.33,34395.14,0.14%,276.38M
2023-07-14,34425.33,34592.26,34425.33,34509.03,0.33%,301.91M
2023-07-17,34499.74,34665.15,34418.72,34585.35,0.22%,359.78M
2023-07-18,34597.08,34986.36,34530.61,34951.93,1.06%,388.39M
2023-07-19,34991.21,35234.05,34991.21,35061.21,0.31%,369.62M
2023-07-20,35091.98,35372.77,35091.98,35225.18,0.47%,342.32M
2023-07-21,35274.32,35340.66,35186.05,35227.69,0.01%,476.66M
2023-07-24,35230.79,35463.97,35230.79,35411.24,0.52%,286.17M
2023-07-25,35421.49,35527.57,35365.26,35438.07,0.08%,309.33M
2023-07-26,35345.99,35633.61,35306.27,35520.12,0.23%,347.33M
2023-07-27,35558.79,35645.35,35216.58,35282.72,-0.67%,352.23M
2023-07-28,35443.49,35565.51,35355.15,35459.29,0.50%,369.00M
2023-07-31,35465.97,35566.95,35430.22,35559.53,0.28%,333.14M
2023-08-01,35585.99,35679.13,35526.61,35630.68,0.20%,261.00M
2023-08-02,35551.92,35551.92,35226.26,35282.52,-0.98%,301.32M
2023-08-03,35194.56,35348.20,35122.32,35215.89,-0.19%,264.87M
2023-08-04,35230.13,35506.88,35033.76,35065.62,-0.43%,342.03M
2023-08-07,35125.60,35497.38,35125.60,35473.13,1.16%,301.69M
2023-08-08,35345.40,35346.64,35007.41,35314.49,-0.45%,308.55M
2023-08-09,35324.28,35370.89,35058.73,35123.36,-0.54%,315.45M
2023-08-10,35231.54,35578.58,35107.60,35176.15,0.15%,340.73M
2023-08-11,35111.36,35354.60,35059.99,35281.40,0.30%,281.95M
2023-08-14,35273.89,35335.45,35169.97,35307.63,0.07%,303.58M
2023-08-15,35160.55,35185.20,34908.50,34946.86,-1.02%,313.10M
2023-08-16,34914.96,35131.63,34757.37,34765.64,-0.52%,319.37M
2023-08-17,34829.61,34888.29,34441.46,34473.90,-0.84%,381.16M
2023-08-18,34265.23,34585.72,34265.23,34501.88,0.08%,310.20M
2023-08-21,34531.28,34570.92,34248.90,34464.41,-0.11%,370.40M
2023-08-22,34494.17,34513.78,34257.81,34289.03,-0.51%,267.06M
2023-08-23,34338.59,34534.72,34322.07,34474.17,0.54%,347.55M
2023-08-24,34439.83,34693.66,34098.08,34099.91,-1.09%,330.75M
2023-08-25,34244.54,34440.08,34029.39,34346.96,0.72%,250.71M
2023-08-28,34441.64,34651.76,34441.64,34560.04,0.62%,220.65M
2023-08-29,34531.12,34864.13,34531.12,34852.87,0.85%,254.96M
2023-08-30,34847.80,35024.64,34813.48,34890.77,0.11%,226.08M
2023-08-31,34909.09,35067.27,34720.40,34721.16,-0.49%,304.14M
2023-09-01,34876.24,34978.69,34721.50,34838.01,0.34%,281.88M
2023-09-05,34824.39,34869.60,34637.06,34642.10,-0.56%,275.10M
2023-09-06,34611.68,34611.68,34291.75,34444.38,-0.57%,298.64M
2023-09-07,34351.18,34560.46,34351.18,34500.99,0.16%,373.57M
2023-09-08,34512.30,34626.90,34474.30,34577.28,0.22%,283.84M
2023-09-11,34718.80,34782.24,34578.82,34664.77,0.25%,280.44M
2023-09-12,34620.02,34851.71,34560.58,34647.44,-0.05%,309.33M
2023-09-13,34667.28,34766.26,34510.48,34575.70,-0.21%,277.54M
2023-09-14,34687.50,34977.80,34687.50,34907.51,0.96%,290.38M
2023-09-15,34902.04,34902.04,34572.31,34618.77,-0.83%,517.83M
2023-09-18,34639.25,34724.59,34545.56,34624.27,0.02%,244.46M
2023-09-19,34571.84,34597.52,34312.14,34518.26,-0.31%,274.28M
2023-09-20,34575.50,34775.41,34436.43,34440.88,-0.22%,284.03M
2023-09-21,34332.23,34376.98,34058.72,34070.35,-1.08%,327.13M
2023-09-22,34077.08,34156.15,33949.17,33964.44,-0.31%,261.74M
2023-09-25,33907.59,34016.50,33781.71,34007.15,0.13%,220.56M
2023-09-26,33862.68,33879.71,33570.16,33618.69,-1.14%,272.49M
2023-09-27,33682.81,33731.65,33306.30,33550.67,-0.20%,288.29M
2023-09-28,33519.44,33777.88,33473.72,33666.14,0.34%,268.83M
2023-09-29,33882.41,33890.15,33408.27,33507.76,-0.47%,308.95M
2023-10-02,33431.31,33511.91,33219.88,33433.35,-0.22%,263.49M
2023-10-03,33301.70,33398.54,32916.26,33003.04,-1.29%,285.40M
2023-10-04,33034.18,33156.17,32873.28,33129.29,0.38%,281.05M
2023-10-05,33099.23,33173.80,32942.45,33119.57,-0.03%,272.37M
2023-10-06,33040.70,33556.26,32848.30,33407.58,0.87%,327.42M
2023-10-09,33289.42,33631.66,33253.96,33604.65,0.59%,226.24M
2023-10-10,33691.45,33897.39,33604.32,33739.30,0.40%,246.67M
2023-10-11,33819.47,33878.91,33613.36,33804.81,0.19%,248.94M
2023-10-12,33845.65,33858.39,33455.91,33631.14,-0.51%,283.54M
2023-10-13,33743.35,33956.98,33551.65,33670.36,0.12%,297.68M
2023-10-16,33863.01,34087.67,33840.71,33984.21,0.93%,264.87M
2023-10-17,33856.81,34147.19,33854.70,33997.98,0.04%,275.76M
2023-10-18,33945.69,33990.43,33598.75,33665.35,-0.98%,280.04M
2023-10-19,33684.83,33847.31,33369.54,33413.45,-0.75%,298.76M
2023-10-20,33360.52,33423.71,33119.50,33127.21,-0.86%,318.40M
2023-10-23,32995.76,33234.85,32893.83,32936.34,-0.58%,337.82M
2023-10-24,33089.64,33271.99,32988.43,33141.32,0.62%,347.13M
2023-10-25,33203.53,33267.10,32991.15,33035.93,-0.32%,348.53M
2023-10-26,33013.92,33103.58,32745.14,32784.30,-0.76%,369.36M
2023-10-27,32772.91,32787.51,32328.80,32418.05,-1.12%,367.18M
2023-10-30,32651.69,33002.70,32645.38,32928.83,1.58%,292.74M
2023-10-31,33029.11,33069.70,32788.18,33052.74,0.38%,292.50M
2023-11-01,33081.87,33334.52,33013.92,33274.58,0.67%,299.87M
2023-11-02,33468.04,33852.76,33451.35,33839.11,1.70%,296.57M
2023-11-03,33979.89,34163.31,33947.23,34061.32,0.66%,303.22M
2023-11-06,34085.31,34163.52,33989.72,34095.86,0.10%,258.08M
2023-11-07,34069.56,34206.54,34027.49,34152.80,0.17%,273.98M
2023-11-08,34192.84,34251.91,33997.33,34112.80,-0.12%,265.50M
2023-11-09,34163.71,34164.80,33861.00,33891.68,-0.65%,314.48M
2023-11-10,34048.02,34309.76,33905.62,34283.10,1.15%,290.39M
2023-11-13,34243.14,34405.54,34208.53,34337.67,0.16%,238.99M
2023-11-14,34662.83,34931.01,34645.94,34827.70,1.43%,322.06M
2023-11-15,34896.86,35051.04,34871.40,34991.21,0.47%,332.23M
2023-11-16,34877.25,35022.46,34819.00,34945.60,-0.13%,428.29M
2023-11-17,35018.83,35028.22,34883.03,34947.28,0.00%,323.66M
2023-11-20,34928.27,35226.82,34907.98,35150.97,0.58%,320.68M
2023-11-21,35113.50,35117.26,35038.99,35088.29,-0.18%,263.11M
2023-11-22,35189.33,35315.12,35155.80,35272.77,0.53%,232.92M
2023-11-24,35299.90,35399.04,35299.90,35390.57,0.33%,97.67M
2023-11-27,35376.44,35407.57,35280.67,35333.40,-0.16%,249.92M
2023-11-28,35332.13,35518.55,35308.54,35416.91,0.24%,252.35M
2023-11-29,35436.80,35579.04,35406.36,35430.55,0.04%,283.05M
2023-11-30,35596.57,35970.03,35592.22,35950.96,1.47%,372.35M
2023-12-01,35914.45,36264.75,35914.45,36245.50,0.82%,314.41M
2023-12-04,36039.24,36237.84,36031.87,36204.44,-0.11%,324.11M
2023-12-05,36097.44,36164.10,36012.18,36124.56,-0.22%,303.78M
2023-12-06,36183.73,36291.87,36024.35,36054.43,-0.19%,275.37M
2023-12-07,36124.17,36163.97,36022.21,36117.57,0.18%,277.04M
2023-12-08,36084.82,36296.20,36064.46,36247.74,0.36%,275.24M
2023-12-11,36274.85,36415.25,36232.20,36404.80,0.43%,329.22M
2023-12-12,36442.10,36596.11,36373.84,36577.94,0.48%,280.72M
2023-12-13,36580.03,37092.52,36524.38,37090.83,1.40%,341.51M
2023-12-14,37115.63,37286.68,37051.52,37248.28,0.42%,442.70M
2023-12-15,37194.50,37346.06,37124.42,37309.22,0.16%,649.35M
2023-12-18,37323.65,37392.92,37285.39,37305.95,-0.01%,280.46M
2023-12-19,37311.82,37561.84,37311.82,37557.98,0.68%,259.63M
2023-12-20,37520.13,37641.30,37075.82,37082.39,-1.27%,289.71M
2023-12-21,37264.53,37418.76,37127.46,37404.35,0.87%,246.57M
2023-12-22,37349.27,37534.09,37269.14,37385.97,-0.05%,249.72M
2023-12-26,37405.90,37616.38,37371.83,37545.33,0.43%,210.44M
2023-12-27,37518.62,37683.42,37488.68,37656.52,0.30%,243.55M
2023-12-28,37661.52,37778.70,37661.52,37710.63,0.14%,196.93M
2023-12-29,37701.63,37758.67,37540.35,37689.54,-0.06%,228.30M
2024-01-02,37499.54,37789.51,37499.54,37715.04,0.07%,340.52M
2024-01-03,37585.64,37620.94,37406.84,37430.19,-0.76%,315.39M
2024-01-04,37425.28,37716.40,37425.28,37440.34,0.03%,366.61M
2024-01-05,37438.56,37622.31,37324.25,37466.11,0.07%,294.55M
2024-01-08,37321.12,37691.62,37249.49,37683.01,0.58%,355.60M
2024-01-09,37473.90,37552.22,37373.42,37525.10,-0.42%,282.70M
2024-01-10,37552.91,37740.73,37524.85,37695.67,0.45%,274.73M
2024-01-11,37747.14,37799.11,37424.28,37711.15,0.04%,295.94M
2024-01-12,37818.05,37821.76,37473.13,37593.24,-0.31%,269.52M
2024-01-16,37498.37,37539.68,37201.54,37360.99,-0.62%,363.47M
2024-01-17,37281.86,37371.64,37132.89,37266.67,-0.25%,282.57M
2024-01-18,37191.75,37519.99,37127.81,37468.68,0.54%,331.08M
2024-01-19,37611.50,37926.50,37451.71,37863.60,1.05%,362.99M
2024-01-22,37947.33,38109.17,37916.96,38001.81,0.37%,325.98M
2024-01-23,37959.79,37974.71,37805.67,37905.51,-0.25%,330.60M
2024-01-24,37975.37,38063.60,37796.70,37806.52,-0.26%,329.69M
2024-01-25,37862.57,38052.03,37798.00,38049.13,0.64%,390.44M
2024-01-26,38006.68,38214.59,37997.77,38109.43,0.16%,383.41M
2024-01-29,38111.53,38343.31,38061.38,38333.26,0.59%,303.11M
2024-01-30,38298.23,38496.85,38257.81,38467.38,0.35%,310.77M
2024-01-31,38426.78,38588.11,38144.33,38150.30,-0.82%,426.28M
2024-02-01,38175.34,38520.24,38106.84,38519.77,0.97%,311.72M
2024-02-02,38448.10,38782.19,38336.84,38654.62,0.35%,372.10M
2024-02-05,38546.77,38633.88,38222.00,38379.59,-0.71%,310.70M
2024-02-06,38380.75,38543.49,38353.07,38520.96,0.37%,265.39M
2024-02-07,38613.89,38748.11,38572.90,38677.36,0.41%,291.14M
2024-02-08,38702.11,38752.42,38545.04,38726.13,0.13%,303.22M
2024-02-09,38731.97,38733.06,38568.22,38671.30,-0.14%,294.58M
2024-02-12,38656.76,38926.41,38628.92,38797.90,0.33%,260.66M
2024-02-13,38699.17,38699.17,38041.33,38272.49,-1.35%,305.80M
2024-02-14,38372.67,38439.86,38195.38,38423.68,0.40%,265.90M
2024-02-15,38397.94,38780.33,38397.94,38773.12,0.91%,300.35M
2024-02-16,38751.71,38824.83,38585.75,38627.99,-0.37%,274.75M
