date,close,open,high,low
2024-02-07,17755.07,17674.59,17784.17,17637.73
2024-02-08,17783.17,17757.6,17814.12,17728.55
2024-02-09,17962.41,17820.98,17987.9,17798.81
2024-02-12,17882.66,17942.28,18041.45,17859.66
2024-02-13,17600.42,17519.8,17717.67,17478.23
2024-02-14,17807.63,17728.9,17815.18,17619.92
2024-02-15,17845.72,17815.32,17864.58,17722.31
2024-02-16,17685.98,17853.59,17864.16,17663.4
2024-02-20,17546.1,17591.17,17657.08,17399.41
2024-02-21,17478.91,17412.79,17482.13,17319.44
2024-02-22,18004.7,17857.76,18034.8,17808.26
2024-02-23,17937.61,18052.59,18091.62,17902.78
2024-02-26,17933.33,17970.21,18014.11,17926.66
2024-02-27,17971.05,17962.58,17987.54,17871.06
2024-02-28,17874.5,17895.03,17931.01,17840.36
2024-02-29,18043.85,17991.67,18068.52,17866.26
2024-03-01,18302.91,18069.29,18333.26,18064.44
2024-03-04,18226.48,18290.1,18313.43,18218.25
2024-03-05,17897.87,18088.71,18097.5,17804.5
2024-03-06,18017.57,18083.51,18142.88,17941.64
2024-03-07,18297.99,18161.73,18337.95,18101.43
2024-03-08,18018.45,18312.78,18416.73,17995.38
2024-03-11,17951.69,17959.68,18003.05,17873.33
2024-03-12,18219.11,18063.02,18228.37,17919.33
2024-03-13,18068.47,18151.76,18163.74,18030.4
2024-03-14,18014.81,18114.69,18142.9,17913.63
2024-03-15,17808.25,17926.92,17930.47,17764.99
2024-03-18,17985.01,18024.24,18124.32,17973.09
2024-03-19,18032.2,17902.52,18039.82,17809.15
2024-03-20,18240.11,18067.7,18249.12,18003.24
2024-03-21,18320.38,18438.24,18464.7,18317.1
2024-03-22,18339.44,18293.15,18386.25,18267.49
2024-03-25,18277.06,18215.54,18337.35,18189.28
2024-03-26,18210.54,18329.29,18378.7,18207.88
2024-03-27,18280.84,18338.19,18344.09,18168.2
2024-03-28,18254.69,18263.41,18308.32,18231.38
2024-04-01,18293.2,18280.82,18391.58,18211.28
2024-04-02,18121.78,18076.43,18135.57,18002.27
2024-04-03,18160.19,18054.44,18238.67,18045.42
2024-04-04,17878.78,18331.02,18362.29,17875.75
2024-04-05,18108.46,17940.28,18202.96,17912.86
2024-04-08,18100.19,18130.44,18178.66,18050.69
2024-04-09,18169.9,18188.87,18210.02,17973.07
2024-04-10,18011.65,17957.96,18040.83,17932.42
2024-04-11,18307.98,18085.11,18337.15,17998.25
2024-04-12,18003.49,18117.67,18166.49,17952.09
2024-04-15,17706.83,18143.25,18152.08,17676.35
2024-04-16,17713.66,17691.45,17817.73,17660.89
2024-04-17,17493.62,17785.82,17788.54,17459.57
2024-04-18,17394.31,17514.77,17590.81,17376.49
2024-04-19,17037.65,17334.71,17362.28,16973.94
2024-04-22,17210.89,17161.11,17305.15,17010.25
2024-04-23,17471.47,17297.24,17513.31,17277.25
2024-04-24,17526.8,17613.66,17653.66,17435.33
2024-04-25,17430.5,17205.28,17474.46,17172.42
2024-04-26,17718.3,17566.22,17772.78,17533.08
2024-04-29,17782.72,17801.14,17820.0,17671.03
2024-04-30,17440.69,17720.35,17768.87,17440.69
2024-05-01,17318.55,17382.78,17667.86,17284.37
2024-05-02,17541.54,17474.92,17575.8,17290.64
2024-05-03,17890.8,17848.66,17926.98,17784.78
2024-05-06,18093.57,17950.98,18094.46,17937.28
2024-05-07,18091.45,18106.33,18156.32,18061.61
2024-05-08,18085.01,17987.7,18135.34,17987.7
2024-05-09,18113.46,18095.8,18138.02,18012.62
2024-05-10,18161.18,18171.15,18247.61,18099.73
