date,open,high,low,close,change,volume
2023-02-28,12041.75,12146.52,12021.32,12042.12,-0.13%,31662M
2023-03-01,12026.72,12054.48,11906.58,11938.57,-0.86%,24848M
2023-03-02,11830.09,12074.59,11830.09,12044.87,0.89%,24537M
2023-03-03,12110.71,12300.46,12095.24,12290.81,2.04%,27900M
2023-03-06,12344.65,12466.88,12297.57,12302.48,0.10%,23956M
2023-03-07,12303.19,12344.04,12130.01,12152.17,-1.22%,25981M
2023-03-08,12181.06,12237.72,12102.28,12215.33,0.52%,23418M
2023-03-09,12230.84,12340.45,11970.34,11995.88,-1.80%,27590M
2023-03-10,12001.70,12069.62,11789.86,11830.28,-1.38%,30868M
2023-03-13,11752.10,12073.96,11695.41,11923.17,0.79%,35106M
2023-03-14,12078.46,12217.87,12035.22,12199.79,2.32%,32430M
2023-03-15,12083.24,12269.45,12026.18,12251.32,0.42%,34336M
2023-03-16,12211.87,12595.69,12190.65,12581.39,2.69%,34426M
2023-03-17,12570.16,12674.34,12444.08,12519.88,-0.49%,71566M
2023-03-20,12487.79,12578.35,12407.82,12562.61,0.34%,29123M
2023-03-21,12643.35,12762.45,12582.76,12741.44,1.42%,30252M
2023-03-22,12742.41,12943.62,12563.78,12567.15,-1.37%,27913M
2023-03-23,12735.60,12900.10,12611.67,12729.23,1.29%,29718M
2023-03-24,12700.51,12770.28,12608.15,12767.05,0.30%,26067M
2023-03-27,12797.89,12839.42,12647.94,12673.07,-0.74%,22495M
2023-03-28,12654.91,12654.91,12517.87,12610.57,-0.49%,20348M
2023-03-29,12768.14,12867.32,12734.68,12846.03,1.87%,26955M
2023-03-30,12934.99,12987.97,12894.14,12963.14,0.91%,22267M
2023-03-31,12968.96,13188.83,12968.00,13181.35,1.68%,31769M
2023-04-03,13084.10,13157.47,13036.55,13148.35,-0.25%,24721M
2023-04-04,13148.35,13204.08,13049.98,13100.08,-0.37%,22766M
2023-04-05,13056.79,13065.28,12894.44,12967.20,-1.01%,24724M
2023-04-06,12892.90,13078.10,12846.03,13062.60,0.74%,22952M
2023-04-10,12936.52,13051.85,12861.52,13051.23,-0.09%,19734M
2023-04-11,13040.49,13049.56,12947.66,12964.16,-0.67%,20613M
2023-04-12,13043.97,13071.98,12833.31,12848.35,-0.89%,23648M
2023-04-13,12922.90,13124.41,12920.02,13109.39,2.03%,23079M
2023-04-14,13044.69,13152.29,12962.51,13079.52,-0.23%,20740M
2023-04-17,13053.26,13105.68,12981.26,13087.71,0.06%,20078M
2023-04-18,13180.31,13196.18,13044.21,13091.79,0.03%,19842M
2023-04-19,12992.51,13128.25,12988.20,13088.71,-0.02%,19677M
2023-04-20,12962.29,13107.92,12933.80,12985.98,-0.78%,26152M
2023-04-21,12970.32,13030.85,12899.64,13000.77,0.11%,23655M
2023-04-24,12981.71,13044.22,12883.77,12969.76,-0.24%,19901M
2023-04-25,12905.09,12933.28,12724.24,12725.11,-1.89%,26153M
2023-04-26,12866.64,12929.62,12783.42,12806.49,0.64%,29222M
2023-04-27,12963.21,13175.62,12938.50,13160.03,2.76%,31931M
2023-04-28,13139.35,13247.39,13096.93,13245.99,0.65%,30070M
