date,close,open,high,low,volume,change
"04/22/2024","2326.29","2388.20","2388.72","2325.29","","-2.68%"
"04/19/2024","2390.45","2378.60","2417.79","2372.96","","0.51%"
"04/18/2024","2378.25","2360.74","2392.84","2360.70","","0.74%"
"04/17/2024","2360.81","2383.20","2395.63","2354.84","","-0.92%"
"04/16/2024","2382.83","2382.86","2398.34","2362.95","","0.01%"
"04/15/2024","2382.51","2343.86","2387.59","2324.59","","1.67%"
"04/12/2024","2343.43","2373.59","2431.53","2333.90","","-1.26%"
"04/11/2024","2373.24","2333.17","2377.80","2325.84","","1.73%"
"04/10/2024","2332.79","2352.91","2360.15","2319.54","","-0.84%"
"04/09/2024","2352.58","2339.24","2365.34","2336.94","","0.59%"
"04/08/2024","2338.89","2322.00","2354.09","2302.86","","0.40%"
"04/05/2024","2329.50","2289.88","2330.34","2267.85","","1.75%"
"04/04/2024","2289.43","2299.62","2305.31","2280.15","","-0.42%"
"04/03/2024","2299.17","2279.57","2301.22","2265.50","","0.84%"
"04/02/2024","2280.10","2250.88","2281.17","2246.79","","1.32%"
"04/01/2024","2250.36","2239.59","2265.86","2228.54","","0.81%"
"03/28/2024","2232.38","2194.19","2235.90","2187.33","","1.75%"
"03/27/2024","2194.02","2179.03","2197.71","2173.59","","0.71%"
"03/26/2024","2178.58","2171.82","2200.15","2167.75","","0.33%"
"03/25/2024","2171.45","2165.79","2181.30","2163.50","","0.34%"
"03/22/2024","2164.15","2181.50","2186.25","2157.15","","-0.76%"
"03/21/2024","2180.81","2186.00","2222.90","2166.50","","-0.24%"
"03/20/2024","2185.96","2158.29","2188.90","2149.60","","1.33%"
"03/19/2024","2157.23","2160.70","2162.93","2146.90","","-0.13%"
"03/18/2024","2159.99","2156.00","2163.64","2146.05","","0.21%"
"03/15/2024","2155.54","2162.40","2173.25","2155.19","","-0.25%"
"03/14/2024","2161.01","2174.29","2177.10","2152.86","","-0.62%"
"03/13/2024","2174.40","2158.25","2179.91","2155.54","","0.76%"
"03/12/2024","2157.99","2183.00","2184.86","2150.59","","-1.12%"
"03/11/2024","2182.47","2177.71","2189.04","2174.80","","0.23%"
"03/08/2024","2177.51","2159.40","2195.20","2154.08","","0.85%"
"03/07/2024","2159.16","2148.54","2164.54","2144.29","","0.51%"
"03/06/2024","2148.29","2127.95","2152.29","2123.65","","0.98%"
"03/05/2024","2127.55","2115.15","2142.15","2110.52","","0.59%"
"03/04/2024","2114.99","2082.09","2119.95","2079.45","","1.52%"
"03/01/2024","2083.39","2043.44","2088.40","2038.55","","1.96%"
"02/29/2024","2043.24","2034.92","2050.79","2027.75","","0.42%"
"02/28/2024","2034.62","2030.05","2038.30","2024.56","","0.25%"
"02/27/2024","2029.64","2030.99","2039.99","2028.78","","-0.05%"
"02/26/2024","2030.66","2034.49","2037.59","2025.10","","-0.25%"
"02/23/2024","2035.72","2024.49","2041.43","2015.55","","0.57%"
"02/22/2024","2024.11","2025.24","2034.84","2019.70","","-0.04%"
"02/21/2024","2024.99","2023.80","2032.22","2020.19","","0.07%"
"02/20/2024","2023.53","2017.99","2030.96","2015.02","","0.29%"
"02/19/2024","2017.63","2013.16","2023.34","2011.57","","0.22%"
"02/16/2024","2013.10","2004.40","2015.25","1995.26","","0.45%"
"02/15/2024","2004.09","1992.69","2008.49","1990.25","","0.59%"
"02/14/2024","1992.39","1992.55","1996.14","1984.30","","0.01%"
"02/13/2024","1992.13","2019.90","2030.05","1990.19","","-1.37%"
"02/12/2024","2019.79","2024.53","2028.09","2011.91","","-0.22%"
"02/09/2024","2024.16","2033.65","2037.44","2020.30","","-0.44%"
"02/08/2024","2033.18","2034.55","2038.94","2019.75","","-0.05%"
"02/07/2024","2034.22","2035.90","2044.65","2030.65","","-0.06%"
"02/06/2024","2035.46","2024.99","2039.02","2022.55","","0.53%"
"02/05/2024","2024.67","2039.91","2042.32","2014.40","","-0.68%"
"02/02/2024","2038.59","2055.09","2058.20","2027.45","","-0.75%"
"02/01/2024","2054.09","2037.59","2065.42","2029.55","","0.83%"
"01/31/2024","2037.19","2036.58","2056.08","2031.00","","0.05%"
"01/30/2024","2036.12","2031.97","2048.48","2029.19","","0.21%"
"01/29/2024","2031.75","2019.40","2037.75","2017.38","","0.66%"
"01/26/2024","2018.34","2019.94","2026.80","2015.97","","-0.07%"
"01/25/2024","2019.75","2012.84","2025.27","2010.15","","0.36%"
"01/24/2024","2012.59","2028.94","2036.74","2011.28","","-0.74%"
"01/23/2024","2027.68","2021.24","2037.92","2019.59","","0.38%"
"01/22/2024","2020.09","2029.90","2032.28","2016.74","","-0.44%"
"01/19/2024","2029.09","2023.05","2039.49","2020.37","","0.32%"
"01/18/2024","2022.67","2006.09","2023.45","2005.43","","0.85%"
"01/17/2024","2005.72","2027.90","2033.05","2001.91","","-1.08%"
"01/16/2024","2027.59","2054.91","2055.65","2024.29","","-1.31%"
"01/15/2024","2054.49","2048.09","2059.25","2045.80","","0.28%"
"01/12/2024","2048.72","2028.30","2062.35","2027.99","","1.02%"
"01/11/2024","2028.09","2023.74","2039.69","2013.32","","0.23%"
"01/10/2024","2023.40","2029.94","2040.44","2020.45","","-0.31%"
"01/09/2024","2029.59","2028.40","2042.09","2026.11","","0.09%"
"01/08/2024","2027.84","2044.08","2046.71","2016.84","","-0.86%"
"01/05/2024","2045.50","2043.69","2064.03","2024.49","","0.11%"
"01/04/2024","2043.26","2041.34","2051.40","2036.24","","0.15%"
"01/03/2024","2040.19","2059.15","2066.12","2030.68","","-0.89%"
"01/02/2024","2058.51","2062.90","2079.02","2056.04","","-0.26%"
"01/01/2024","2063.80","2064.24","2074.90","2063.30","","0.06%"
"12/29/2023","2062.59","2065.15","2075.15","2057.75","","-0.17%"
"12/28/2023","2066.04","2077.34","2088.54","2065.89","","-0.53%"
"12/27/2023","2077.00","2066.70","2084.59","2061.00","","0.47%"
"12/26/2023","2067.20","2055.73","2068.65","2053.59","","0.60%"
"12/25/2023","2054.93","2054.32","2058.36","2053.96","","0.10%"
"12/22/2023","2052.98","2045.84","2070.65","2045.65","","0.37%"
"12/21/2023","2045.49","2029.44","2046.07","2029.44","","0.80%"
"12/20/2023","2029.19","2040.34","2043.94","2029.37","","-0.54%"
"12/19/2023","2040.12","2027.30","2047.07","2021.74","","0.65%"
"12/18/2023","2027.00","2020.09","2033.71","2015.99","","0.44%"
"12/15/2023","2018.19","2035.80","2045.55","2015.68","","-0.85%"
"12/14/2023","2035.53","2026.59","2047.98","2024.33","","0.45%"
"12/13/2023","2026.39","1979.74","2027.55","1973.09","","2.37%"
"12/12/2023","1979.44","1981.59","1996.80","1977.19","","-0.09%"
"12/11/2023","1981.30","2003.60","2008.72","1975.95","","-1.10%"
"12/08/2023","2003.39","2028.69","2034.19","1994.74","","-1.23%"
